Position: [1.4333992467954315, 0.803671067867789, 96.63662253705232], Rotation: [0.5024852999999996, 0.8303728833333344, 0.8706659182746853], Velocity: [2.9656536140595167, 1.6627677266230103, -6.626074061271069], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.4828268070297568, 0.8313838633115058, 96.52346296936447], Rotation: [0.5110019999999996, 0.8444470000000011, 0.8706659182746853], Velocity: [3.015918929552051, 1.6909502304640782, -6.738380401292613], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.5330921225222909, 0.8595663671525738, 96.40843162934293], Rotation: [0.5195186999999997, 0.8585211166666677, 0.8706659182746853], Velocity: [3.0661842450445853, 1.7191327343051461, -6.850686741314156], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.584195193273034, 0.8882185793909929, 96.2915285169877], Rotation: [0.5280353999999997, 0.8725952333333344, 0.8706659182746853], Velocity: [3.1164495605371196, 1.747315238146214, -6.9629930813357], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.636136019281986, 0.9173405000267632, 96.17275363229876], Rotation: [0.5365520999999998, 0.8866693500000011, 0.8706659182746853], Velocity: [3.166714876029654, 1.775497741987282, -7.0752994213572435], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.6889146005491469, 0.9469321290598846, 96.05210697527615], Rotation: [0.5450687999999998, 0.9007434666666678, 0.8706659182746853], Velocity: [3.2169801915221883, 1.8036802458283498, -7.187605761378787], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.7425309370745168, 0.976993466490357, 95.92958854591983], Rotation: [0.5535854999999998, 0.9148175833333345, 0.8706659182746853], Velocity: [3.2672455070147226, 1.8318627496694178, -7.299912101400331], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.7969850288580955, 1.0075245123181806, 95.80519834422982], Rotation: [0.5621021999999999, 0.9288917000000012, 0.8706659182746853], Velocity: [3.317510822507257, 1.8600452535104857, -7.412218441421874], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.852276875899883, 1.0385252665433553, 95.67893637020613], Rotation: [0.5706188999999999, 0.9429658166666679, 0.8706659182746853], Velocity: [3.3677761379997913, 1.8882277573515536, -7.524524781443418], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.9084064781998795, 1.0699957291658813, 95.55080262384874], Rotation: [0.5791356, 0.9570399333333346, 0.8706659182746853], Velocity: [3.4180414534923256, 1.9164102611926215, -7.636831121464962], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.965373835758085, 1.1019359001857583, 95.42079710515766], Rotation: [0.5876523, 0.9711140500000013, 0.8706659182746853], Velocity: [3.46830676898486, 1.9445927650336894, -7.749137461486505], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [2.0231789485744995, 1.1343457796029863, 95.28891981413288], Rotation: [0.5961690000000001, 0.985188166666668, 0.8706659182746853], Velocity: [3.5185720844773942, 1.9727752688747573, -7.861443801508049], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [2.0818218166491227, 1.1672253674175657, 95.15517075077442], Rotation: [0.6046857000000001, 0.9992622833333347, 0.8706659182746853], Velocity: [3.5688373999699285, 2.000957772715825, -7.973750141529592], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [2.141302439981955, 1.200574663629496, 95.01954991508225], Rotation: [0.6132024000000001, 1.0133364000000014, 0.8706659182746853], Velocity: [3.619102715462463, 2.0291402765568933, -8.086056481551136], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [2.2016208185729957, 1.2343936682387775, 94.8820573070564], Rotation: [0.6217191000000002, 1.027410516666668, 0.8706659182746853], Velocity: [3.669368030954997, 2.0573227803979615, -8.19836282157268], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [2.2627769524222456, 1.2686823812454102, 94.74269292669686], Rotation: [0.6302358000000002, 1.0414846333333347, 0.8706659182746853], Velocity: [3.7196333464475315, 2.0855052842390296, -8.310669161594223], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [2.3247708415297046, 1.303440802649394, 94.60145677400362], Rotation: [0.6387525000000003, 1.0555587500000014, 0.8706659182746853], Velocity: [3.769898661940066, 2.1136877880800977, -8.422975501615767], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [2.387602485895372, 1.338668932450729, 94.4583488489767], Rotation: [0.6472707166666669, 1.0584330833333349, 0.8706659182746853], Velocity: [3.8081196600949574, 2.135121916469137, -8.334906814200993], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [2.451071146896955, 1.3742542977252146, 94.31670873540668], Rotation: [0.6557889333333335, 1.0613074166666683, 0.8706659182746853], Velocity: [3.846340658249849, 2.156556044858176, -8.24683812678622], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [2.515176824534452, 1.4101968984728508, 94.17653643329358], Rotation: [0.6643071500000002, 1.0641817500000017, 0.8706659182746853], Velocity: [3.8845616564047405, 2.177990173247215, -8.158769439371445], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [2.5799195188078645, 1.4464967346936377, 94.03783194263738], Rotation: [0.6728253666666668, 1.0670560833333351, 0.8706659182746853], Velocity: [3.922782654559632, 2.1994243016362542, -8.070700751956672], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [2.6452992297171916, 1.4831538063875753, 93.9005952634381], Rotation: [0.6813435833333334, 1.0699304166666685, 0.8706659182746853], Velocity: [3.9610036527145236, 2.2208584300252934, -7.982632064541898], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
Position: [2.7113159572624337, 1.5201681135546636, 93.76482639569574], Rotation: [0.6898618000000001, 1.072804750000002, 0.8706659182746853], Velocity: [3.999224650869415, 2.2422925584143325, -7.894563377127124], Thrust Rotation: (0.511093, 0.17246), Thrust Magnitude: 1.561815
