Position: [-7.983296471826738, -1.5426890894945469, 91.85066534426537], Rotation: [0.25464591666666647, -1.5526370999999985, 3.6364416800735166], Velocity: [-9.907664154258017, -1.9142495042014036, -11.375630221946766], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-8.148424207731038, -1.5745932478979037, 91.65834650723292], Rotation: [0.2578370166666665, -1.5432747333333319, 3.6364416800735166], Velocity: [-9.862961775000834, -1.9055843730929263, -11.466781973611138], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-8.312806903981052, -1.6063529874494524, 91.4645084743394], Rotation: [0.2610281166666665, -1.5339123666666652, 3.6364416800735166], Velocity: [-9.81825939574365, -1.896919241984449, -11.55793372527551], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-8.476444560576779, -1.6379683081491931, 91.26915124558481], Rotation: [0.2642192166666665, -1.5245499999999985, 3.6364416800735166], Velocity: [-9.773557016486468, -1.8882541108759716, -11.64908547693988], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-8.63933717751822, -1.669439209997126, 91.07227482096914], Rotation: [0.2674103166666665, -1.5151876333333318, 3.6364416800735166], Velocity: [-9.728854637229285, -1.8795889797674943, -11.740237228604252], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-8.801484754805374, -1.7007656929932509, 90.87387920049241], Rotation: [0.2706014166666665, -1.5058252666666652, 3.6364416800735166], Velocity: [-9.684152257972102, -1.870923848659017, -11.831388980268624], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-8.962887292438243, -1.7319477571375679, 90.6739643841546], Rotation: [0.2737925166666665, -1.4964628999999985, 3.6364416800735166], Velocity: [-9.639449878714919, -1.8622587175505396, -11.922540731932996], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-9.123544790416824, -1.7629854024300768, 90.47253037195571], Rotation: [0.2769836166666665, -1.4871005333333318, 3.6364416800735166], Velocity: [-9.594747499457736, -1.8535935864420623, -12.013692483597367], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-9.28345724874112, -1.793878628870778, 90.26957716389576], Rotation: [0.2801747166666665, -1.4777381666666651, 3.6364416800735166], Velocity: [-9.550045120200553, -1.844928455333585, -12.104844235261739], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-9.44262466741113, -1.824627436459671, 90.06510475997473], Rotation: [0.2833658166666665, -1.4683757999999985, 3.6364416800735166], Velocity: [-9.50534274094337, -1.8362633242251076, -12.19599598692611], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-9.601047046426853, -1.8552318251967561, 89.85911316019263], Rotation: [0.2865569166666665, -1.4590134333333318, 3.6364416800735166], Velocity: [-9.460640361686186, -1.8275981931166303, -12.287147738590482], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-9.75872438578829, -1.8856917950820333, 89.65160236454946], Rotation: [0.2897480166666665, -1.449651066666665, 3.6364416800735166], Velocity: [-9.415937982429003, -1.818933062008153, -12.378299490254854], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-9.915656685495438, -1.9160073461155025, 89.44257237304521], Rotation: [0.2929391166666665, -1.4402886999999984, 3.6364416800735166], Velocity: [-9.37123560317182, -1.8102679308996756, -12.469451241919225], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-10.071843945548302, -1.9461784782971638, 89.23202318567989], Rotation: [0.2961302166666665, -1.4309263333333317, 3.6364416800735166], Velocity: [-9.326533223914637, -1.8016027997911983, -12.560602993583597], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-10.227286165946879, -1.9762051916270171, 89.0199548024535], Rotation: [0.2993213166666665, -1.421563966666665, 3.6364416800735166], Velocity: [-9.281830844657454, -1.792937668682721, -12.651754745247969], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-10.38198334669117, -2.0060874861050624, 88.80636722336604], Rotation: [0.3025124166666665, -1.4122015999999984, 3.6364416800735166], Velocity: [-9.237128465400271, -1.7842725375742436, -12.74290649691234], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-10.535935487781174, -2.0358253617312996, 88.5912604484175], Rotation: [0.3057035166666665, -1.4028392333333317, 3.6364416800735166], Velocity: [-9.192426086143088, -1.7756074064657663, -12.834058248576712], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-10.689142589216893, -2.065418818505729, 88.37463447760788], Rotation: [0.3088946166666665, -1.393476866666665, 3.6364416800735166], Velocity: [-9.147723706885905, -1.766942275357289, -12.925210000241083], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-10.841604650998324, -2.0948678564283507, 88.1564893109372], Rotation: [0.3120857166666665, -1.3841144999999984, 3.6364416800735166], Velocity: [-9.103021327628722, -1.7582771442488117, -13.016361751905455], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-10.99332167312547, -2.124172475499164, 87.93682494840544], Rotation: [0.3152768166666665, -1.3747521333333317, 3.6364416800735166], Velocity: [-9.05831894837154, -1.7496120131403343, -13.107513503569827], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-11.144293655598329, -2.1533326757181697, 87.71564139001262], Rotation: [0.3184679166666665, -1.365389766666665, 3.6364416800735166], Velocity: [-9.013616569114356, -1.740946882031857, -13.198665255234198], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-11.294520598416902, -2.182348457085367, 87.49293863575872], Rotation: [0.3216590166666665, -1.3560273999999983, 3.6364416800735166], Velocity: [-8.968914189857173, -1.7322817509233797, -13.28981700689857], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
