Position: [3.2401839497257865, -0.2771437049369081, 94.641350898732], Rotation: [3.2090463499999986, -1.3753465000000005, 4.393545855766076], Velocity: [6.619820299400619, -0.5662325409706819, -9.961226696266717], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [3.3505142880491303, -0.2865809139530861, 94.47260545379422], Rotation: [3.2599840499999986, -1.4005285166666672, 4.393545855766076], Velocity: [6.730612892670402, -0.575709558273855, -10.118060761026605], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [3.462691169593637, -0.29617607325765033, 94.3012461077771], Rotation: [3.3109217499999986, -1.425710533333334, 4.393545855766076], Velocity: [6.841405485940186, -0.585186575577028, -10.274894825786493], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [3.5767145943593066, -0.3059291828506008, 94.12727286068066], Rotation: [3.3618594499999985, -1.4508925500000007, 4.393545855766076], Velocity: [6.952198079209969, -0.5946635928802011, -10.431728890546381], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [3.6925845623461395, -0.31584024273193745, 93.95068571250489], Rotation: [3.4127971499999985, -1.4760745666666675, 4.393545855766076], Velocity: [7.062990672479753, -0.6041406101833742, -10.58856295530627], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [3.8103010735541356, -0.32590925290166034, 93.7714846632498], Rotation: [3.4637348499999985, -1.5012565833333342, 4.393545855766076], Velocity: [7.173783265749536, -0.6136176274865472, -10.745397020066157], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [3.9298641279832944, -0.33613621335976945, 93.58966971291535], Rotation: [3.5146725499999985, -1.526438600000001, 4.393545855766076], Velocity: [7.28457585901932, -0.6230946447897203, -10.902231084826045], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [4.051273725633616, -0.3465211241062648, 93.40524086150158], Rotation: [3.5656102499999984, -1.5516206166666677, 4.393545855766076], Velocity: [7.3953684522891034, -0.6325716620928934, -11.059065149585933], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [4.174529866505101, -0.35706398514114635, 93.21819810900848], Rotation: [3.6165479499999984, -1.5768026333333345, 4.393545855766076], Velocity: [7.506161045558887, -0.6420486793960665, -11.215899214345821], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [4.2996325505977495, -0.3677647964644141, 93.02854145543606], Rotation: [3.6674856499999984, -1.6019846500000012, 4.393545855766076], Velocity: [7.6169536388286705, -0.6515256966992395, -11.37273327910571], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [4.426581777911561, -0.3786235580760681, 92.8362709007843], Rotation: [3.7184233499999984, -1.627166666666668, 4.393545855766076], Velocity: [7.727746232098454, -0.6610027140024126, -11.529567343865597], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [4.555377548446534, -0.38964026997610834, 92.6413864450532], Rotation: [3.7693610499999983, -1.6523486833333347, 4.393545855766076], Velocity: [7.8385388253682375, -0.6704797313055857, -11.686401408625485], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [4.686019862202672, -0.4008149321645348, 92.44388808824277], Rotation: [3.8202987499999983, -1.6775307000000015, 4.393545855766076], Velocity: [7.949331418638021, -0.6799567486087588, -11.843235473385374], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [4.818508719179972, -0.41214754464134745, 92.24377583035302], Rotation: [3.8712364499999983, -1.7027127166666682, 4.393545855766076], Velocity: [8.060124011907805, -0.6894337659119318, -12.000069538145262], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [4.952844119378436, -0.42363810740654634, 92.04104967138393], Rotation: [3.9221741499999982, -1.727894733333335, 4.393545855766076], Velocity: [8.170916605177588, -0.6989107832151049, -12.15690360290515], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [5.089026062798062, -0.43528662046013145, 91.83570961133552], Rotation: [3.9731118499999982, -1.7530767500000017, 4.393545855766076], Velocity: [8.281709198447372, -0.708387800518278, -12.313737667665038], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [5.227054549438852, -0.4470930838021027, 91.62775565020776], Rotation: [4.024049549999998, -1.7782587666666685, 4.393545855766076], Velocity: [8.392501791717155, -0.7178648178214511, -12.470571732424926], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [5.3669295793008045, -0.4590574974324602, 91.41718778800067], Rotation: [4.074987249999999, -1.8034407833333352, 4.393545855766076], Velocity: [8.503294384986939, -0.7273418351246241, -12.627405797184814], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [5.50865115238392, -0.47117986135120393, 91.20400602471426], Rotation: [4.125924949999999, -1.828622800000002, 4.393545855766076], Velocity: [8.614086978256722, -0.7368188524277972, -12.784239861944702], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [5.6522192686881985, -0.48346017555833387, 90.98821036034852], Rotation: [4.1768626499999995, -1.8538048166666687, 4.393545855766076], Velocity: [8.724879571526506, -0.7462958697309703, -12.94107392670459], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [5.79763392821364, -0.49589844005385003, 90.76980079490345], Rotation: [4.22780035, -1.8789868333333355, 4.393545855766076], Velocity: [8.83567216479629, -0.7557728870341434, -13.097907991464478], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [5.944895130960245, -0.5084946548377525, 90.54877732837903], Rotation: [4.27873805, -1.9041688500000022, 4.393545855766076], Velocity: [8.946464758066073, -0.7652499043373164, -13.254742056224366], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [6.094002876928013, -0.5212488199100411, 90.32513996077529], Rotation: [4.329675750000001, -1.929350866666669, 4.393545855766076], Velocity: [9.057257351335856, -0.7747269216404895, -13.411576120984254], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [6.244957166116944, -0.534160935270716, 90.09888869209222], Rotation: [4.380613450000001, -1.9545328833333357, 4.393545855766076], Velocity: [9.16804994460564, -0.7842039389436626, -13.568410185744142], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [6.397757998527037, -0.5472310009197769, 89.87002352232982], Rotation: [4.4315511500000015, -1.9797149000000025, 4.393545855766076], Velocity: [9.278842537875423, -0.7936809562468357, -13.72524425050403], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [6.552405374158295, -0.5604590168572242, 89.63854445148809], Rotation: [4.482488850000002, -2.0048969166666692, 4.393545855766076], Velocity: [9.389635131145207, -0.8031579735500087, -13.882078315263918], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [6.708899293010715, -0.5738449830830576, 89.40445147956702], Rotation: [4.533426550000002, -2.030078933333336, 4.393545855766076], Velocity: [9.50042772441499, -0.8126349908531818, -14.038912380023806], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [6.867239755084298, -0.5873888995972774, 89.16774460656661], Rotation: [4.584364250000003, -2.0552609500000028, 4.393545855766076], Velocity: [9.611220317684774, -0.8221120081563549, -14.195746444783694], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [7.027426760379044, -0.6010907663998832, 88.92842383248689], Rotation: [4.635301950000003, -2.0804429666666695, 4.393545855766076], Velocity: [9.722012910954557, -0.831589025459528, -14.352580509543582], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
