Position: [0.31833852957554387, -0.027187940810460547, 108.59571955235019], Rotation: [-0.12211856666666664, 0.02436953333333332, 1.090964539897338], Velocity: [0.44941910057723844, -0.038382975261826685, 12.465980544494407], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.32582884791849787, -0.027827657064824325, 108.80076089475843], Rotation: [-0.12353854999999997, 0.024652899999999988, 1.090964539897338], Velocity: [0.4546449040723226, -0.03882928892766188, 12.610933806639691], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.3334062629863699, -0.028474811880285358, 109.00821812486909], Rotation: [-0.1249585333333333, 0.024936266666666655, 1.090964539897338], Velocity: [0.4598707075674068, -0.03927560259349708, 12.755887068784975], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.34107077477916, -0.02912940525684364, 109.21809124268218], Rotation: [-0.12637819999999997, 0.026313116666666653, 1.090964539897338], Velocity: [0.47912041264676536, -0.040919269677749004, 12.825718967649891], Thrust Rotation: (-0.08518, 0.082611), Thrust Magnitude: 1.43199
Position: [0.3490561149899394, -0.029811393084806122, 109.42912822547635], Rotation: [-0.12779786666666665, 0.027689966666666652, 1.090964539897338], Velocity: [0.49837011772612394, -0.04256293676200093, 12.895550866514807], Thrust Rotation: (-0.08518, 0.082611), Thrust Magnitude: 1.43199
Position: [0.3573622836187081, -0.030520775364172803, 109.6413290732516], Rotation: [-0.12921753333333333, 0.02906681666666665, 1.090964539897338], Velocity: [0.5176198228054825, -0.04420660384625286, 12.965382765379722], Thrust Rotation: (-0.08518, 0.082611), Thrust Magnitude: 1.43199
Position: [0.36598928066546615, -0.031257552094943686, 109.85469378600793], Rotation: [-0.1306372, 0.03044366666666665, 1.090964539897338], Velocity: [0.536869527884841, -0.04585027093050478, 13.035214664244638], Thrust Rotation: (-0.08518, 0.082611), Thrust Magnitude: 1.43199
Position: [0.3749371061302135, -0.03202172327711877, 110.06922236374534], Rotation: [-0.1320568666666667, 0.03182051666666665, 1.090964539897338], Velocity: [0.5561192329641995, -0.04749393801475671, 13.105046563109553], Thrust Rotation: (-0.08518, 0.082611), Thrust Magnitude: 1.43199
Position: [0.3842057600129502, -0.03281328891069805, 110.28491480646383], Rotation: [-0.13347653333333337, 0.03319736666666665, 1.090964539897338], Velocity: [0.575368938043558, -0.049137605099008635, 13.174878461974469], Thrust Rotation: (-0.08518, 0.082611), Thrust Magnitude: 1.43199
Position: [0.3937952423136762, -0.03363224899568153, 110.5017711141634], Rotation: [-0.13489620000000005, 0.03457421666666665, 1.090964539897338], Velocity: [0.5946186431229166, -0.05078127218326056, 13.244710360839385], Thrust Rotation: (-0.08518, 0.082611), Thrust Magnitude: 1.43199
