Position: [-0.14121033376937628, 0.47998840777935464, 95.67938664283987], Rotation: [-1.4981725000000017, 0.9919689666666669, 2.039270551465683], Velocity: [-0.04686504588956278, 0.1603997577299024, -8.784980359798281], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14199141786753566, 0.482661737074853, 95.5302453035099], Rotation: [-1.519570583333335, 1.0218425500000001, 2.039270551465683], Velocity: [-0.04237982779101318, 0.14519831605455538, -8.952051523572415], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14269774833071922, 0.4850817090090956, 95.3783194447837], Rotation: [-1.5409686666666684, 1.0517161333333334, 2.039270551465683], Velocity: [-0.03789460969246358, 0.12999687437920837, -9.119122687346549], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14332932515892693, 0.48724832358208237, 95.22360906666125], Rotation: [-1.5623667500000018, 1.0815897166666666, 2.039270551465683], Velocity: [-0.033409391593913984, 0.11479543270386137, -9.286193851120682], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14388614835215882, 0.4891615807938134, 95.06611416914258], Rotation: [-1.5837648333333352, 1.1114632999999998, 2.039270551465683], Velocity: [-0.028924173495364386, 0.09959399102851438, -9.453265014894816], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.1443682179104149, 0.49082148064428865, 94.90583475222766], Rotation: [-1.6051629166666685, 1.141336883333333, 2.039270551465683], Velocity: [-0.024438955396814788, 0.08439254935316738, -9.62033617866895], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14477553383369515, 0.4922280231335081, 94.74277081591651], Rotation: [-1.626561000000002, 1.1712104666666663, 2.039270551465683], Velocity: [-0.01995373729826519, 0.06919110767782038, -9.787407342443084], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14510809612199957, 0.4933812082614718, 94.57692236020912], Rotation: [-1.6479590833333353, 1.2010840499999995, 2.039270551465683], Velocity: [-0.015468519199715593, 0.05398966600247338, -9.954478506217217], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14536590477532815, 0.4942810360281797, 94.4082893851055], Rotation: [-1.6693571666666687, 1.2309576333333327, 2.039270551465683], Velocity: [-0.010983301101165997, 0.03878822432712638, -10.121549669991351], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14554895979368093, 0.4949275064336318, 94.23687189060566], Rotation: [-1.690755250000002, 1.260831216666666, 2.039270551465683], Velocity: [-0.0064980830026164, 0.023586782651779374, -10.288620833765485], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14565726117705788, 0.49532061947782813, 94.06266987670956], Rotation: [-1.7121533333333354, 1.2907047999999992, 2.039270551465683], Velocity: [-0.0020128649040668037, 0.008385340976432372, -10.455691997539619], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.145690808925459, 0.4954603751607687, 93.88568334341724], Rotation: [-1.7335514166666688, 1.3205783833333324, 2.039270551465683], Velocity: [0.0024723531944827928, -0.00681610069891463, -10.622763161313753], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14564960303888427, 0.49534677348245343, 93.70591229072868], Rotation: [-1.7549495000000022, 1.3504519666666657, 2.039270551465683], Velocity: [0.006957571293032389, -0.02201754237426163, -10.789834325087886], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14553364351733372, 0.4949798144428824, 93.52335671864388], Rotation: [-1.7763475833333355, 1.380325549999999, 2.039270551465683], Velocity: [0.011442789391581986, -0.03721898404960863, -10.95690548886202], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14534293036080737, 0.4943594980420556, 93.33801662716284], Rotation: [-1.797745666666669, 1.4101991333333321, 2.039270551465683], Velocity: [0.015928007490131582, -0.05242042572495564, -11.123976652636154], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14507746356930518, 0.493485824279973, 93.14989201628558], Rotation: [-1.8191437500000023, 1.4400727166666654, 2.039270551465683], Velocity: [0.02041322558868118, -0.06762186740030264, -11.291047816410288], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14473724314282715, 0.4923587931566346, 92.95898288601207], Rotation: [-1.8405418333333357, 1.4699462999999986, 2.039270551465683], Velocity: [0.02489844368723078, -0.08282330907564964, -11.458118980184421], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.1443222690813733, 0.49097840467204046, 92.76528923634233], Rotation: [-1.861939916666669, 1.4998198833333318, 2.039270551465683], Velocity: [0.029383661785780377, -0.09802475075099663, -11.625190143958555], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14383254138494364, 0.4893446588261905, 92.56881106727636], Rotation: [-1.8833380000000024, 1.529693466666665, 2.039270551465683], Velocity: [0.033868879884329975, -0.11322619242634363, -11.792261307732689], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14326806005353815, 0.48745755561908477, 92.36954837881414], Rotation: [-1.9047360833333358, 1.5595670499999983, 2.039270551465683], Velocity: [0.03835409798287957, -0.12842763410169064, -11.959332471506823], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14262882508715682, 0.48531709505072324, 92.1675011709557], Rotation: [-1.9261341666666691, 1.5894406333333315, 2.039270551465683], Velocity: [0.04283931608142917, -0.14362907577703765, -12.126403635280957], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14191483648579967, 0.48292327712110594, 91.96266944370102], Rotation: [-1.9475322500000025, 1.6193142166666648, 2.039270551465683], Velocity: [0.04732453417997877, -0.15883051745238466, -12.29347479905509], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14112609424946668, 0.48027610183023284, 91.7550531970501], Rotation: [-1.968930333333336, 1.649187799999998, 2.039270551465683], Velocity: [0.05180975227852837, -0.17403195912773167, -12.460545962829224], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
