Position: [-445.46726439199415, 659.6091238851773, 1536.3978460532323], Rotation: [-0.7326045000000004, -0.37887974999999996, 4.501213223822247], Velocity: [-1214.9107210690747, 1798.933974232303, 3917.7831028724513], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-465.71577640981207, 689.591356789049, 1601.6915061011066], Rotation: [-0.7488846000000005, -0.38729929999999996, 4.501213223822247], Velocity: [-1241.9087370928319, 1838.9102847707986, 4004.8449496029502], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-486.41425536135927, 720.2398615352289, 1668.4361969278225], Rotation: [-0.7651647000000005, -0.39571884999999996, 4.501213223822247], Velocity: [-1268.906753116589, 1878.8865953092943, 4091.906796333449], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-507.56270124663575, 751.5546381237172, 1736.63191853338], Rotation: [-0.7814448000000005, -0.40413839999999995, 4.501213223822247], Velocity: [-1295.9047691403462, 1918.86290584779, 4178.968643063948], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-529.1611140656415, 783.5356865545136, 1806.2786709177792], Rotation: [-0.7977249000000005, -0.41255794999999995, 4.501213223822247], Velocity: [-1322.9027851641033, 1958.8392163862857, 4266.030489794446], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-551.2094938183766, 816.1830068276184, 1877.37645408102], Rotation: [-0.8140050000000005, -0.42097749999999995, 4.501213223822247], Velocity: [-1349.9008011878605, 1998.8155269247814, 4353.092336524945], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-573.7078405048409, 849.4965989430315, 1949.9252680231025], Rotation: [-0.8302851000000006, -0.42939704999999995, 4.501213223822247], Velocity: [-1376.8988172116176, 2038.791837463277, 4440.154183255443], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-596.6561541250345, 883.4764629007527, 2023.9251127440266], Rotation: [-0.8465652000000006, -0.43781659999999994, 4.501213223822247], Velocity: [-1403.8968332353747, 2078.7681480017727, 4527.2160299859415], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-620.0544346789574, 918.1225987007823, 2099.375988243792], Rotation: [-0.8628453000000006, -0.44623614999999994, 4.501213223822247], Velocity: [-1430.894849259132, 2118.744458540268, 4614.27787671644], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-643.9026821666096, 953.4350063431201, 2176.2778945223995], Rotation: [-0.8791254000000006, -0.45465569999999994, 4.501213223822247], Velocity: [-1457.892865282889, 2158.7207690787636, 4701.3397234469385], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-668.200896587991, 989.4136858277661, 2254.6308315798483], Rotation: [-0.8954055000000006, -0.46307524999999994, 4.501213223822247], Velocity: [-1484.8908813066462, 2198.697079617259, 4788.401570177437], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-692.9490779431018, 1026.0586371547204, 2334.434799416139], Rotation: [-0.9116856000000007, -0.47149479999999994, 4.501213223822247], Velocity: [-1511.8888973304033, 2238.6733901557545, 4875.463416907935], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-718.1472262319418, 1063.369860323983, 2415.689798031271], Rotation: [-0.9279657000000007, -0.47991434999999993, 4.501213223822247], Velocity: [-1538.8869133541605, 2278.64970069425, 4962.525263638434], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-743.7953414545111, 1101.3473553355539, 2498.395827425245], Rotation: [-0.9442458000000007, -0.48833389999999993, 4.501213223822247], Velocity: [-1565.8849293779176, 2318.6260112327454, 5049.587110368932], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-769.8934236108097, 1139.9911221894329, 2582.5528875980604], Rotation: [-0.9605259000000007, -0.49675344999999993, 4.501213223822247], Velocity: [-1592.8829454016748, 2358.602321771241, 5136.648957099431], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-796.4414727008376, 1179.3011608856202, 2668.1609785497176], Rotation: [-0.9768019333333341, -0.49423923333333325, 4.501213223822247], Velocity: [-1590.753548940661, 2355.4509551095853, 5161.506184136247], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-822.9540318498487, 1218.5586768041132, 2754.183356618655], Rotation: [-0.9930779666666675, -0.49172501666666657, 4.501213223822247], Velocity: [-1588.6241524796471, 2352.2995884479296, 5186.363411173063], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-849.4311010578427, 1257.7636699449122, 2840.620021804873], Rotation: [-1.0093540000000008, -0.4892107999999999, 4.501213223822247], Velocity: [-1586.4947560186333, 2349.148221786274, 5211.220638209878], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-875.87268032482, 1296.9161403080168, 2927.470974108371], Rotation: [-1.0256300333333341, -0.4866965833333332, 4.501213223822247], Velocity: [-1584.3653595576195, 2345.9968551246184, 5236.077865246694], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-902.2787696507803, 1336.016087893427, 3014.7362135291496], Rotation: [-1.0419060666666675, -0.48418236666666653, 4.501213223822247], Velocity: [-1582.2359630966057, 2342.8454884629627, 5260.93509228351], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-928.6493690357237, 1375.063512701143, 3102.415740067208], Rotation: [-1.058182100000001, -0.48166814999999985, 4.501213223822247], Velocity: [-1580.106566635592, 2339.694121801307, 5285.792319320326], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-954.9844784796502, 1414.058414731165, 3190.5095537225466], Rotation: [-1.0744581333333343, -0.47915393333333317, 4.501213223822247], Velocity: [-1577.977170174578, 2336.5427551396515, 5310.649546357142], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-981.2840979825598, 1453.0007939834925, 3279.0176544951655], Rotation: [-1.0907341666666677, -0.4766397166666665, 4.501213223822247], Velocity: [-1575.8477737135643, 2333.391388477996, 5335.506773393958], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1007.5482275444526, 1491.8906504581257, 3367.9400423850648], Rotation: [-1.107010200000001, -0.4741254999999998, 4.501213223822247], Velocity: [-1573.7183772525505, 2330.2400218163402, 5360.364000430774], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1033.7768671653284, 1530.7279841550646, 3457.2767173922443], Rotation: [-1.1232862333333344, -0.47161128333333313, 4.501213223822247], Velocity: [-1571.5889807915366, 2327.0886551546846, 5385.221227467589], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
Position: [-1059.9700168451873, 1569.5127950743095, 3547.027679516704], Rotation: [-1.1395622666666678, -0.46909706666666645, 4.501213223822247], Velocity: [-1569.4595843305228, 2323.937288493029, 5410.078454504405], Thrust Rotation: (-0.976562, 0.150853), Thrust Magnitude: 154.78988
