Position: [0.26258763892992176, -0.34742172423775797, 96.21783420395647], Rotation: [-0.8620098666666656, 0.6113510666666672, 0.5930408311288585], Velocity: [0.5729184849380113, -0.7580110347005626, -7.919052645913144], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.27213628034555526, -0.36005524148276735, 96.08312499319125], Rotation: [-0.8774028999999989, 0.6222680500000005, 0.5930408311288585], Velocity: [0.5831491721690473, -0.7715469460345012, -8.06046430030445], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.28185543321503936, -0.37291435725000904, 95.94605892151951], Rotation: [-0.8927959333333322, 0.6331850333333339, 0.5930408311288585], Velocity: [0.5933798594000832, -0.7850828573684399, -8.201875954695755], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.2917450975383741, -0.38599907153948304, 95.80663598894125], Rotation: [-0.9081889666666655, 0.6441020166666672, 0.5930408311288585], Velocity: [0.6036105466311191, -0.7986187687023785, -8.34328760908706], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.3018052733155594, -0.39930938435118934, 95.66485619545647], Rotation: [-0.9235819999999988, 0.6550190000000006, 0.5930408311288585], Velocity: [0.6138412338621551, -0.8121546800363171, -8.484699263478365], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.3120359605465953, -0.41284529568512796, 95.52071954106516], Rotation: [-0.9389750333333321, 0.6659359833333339, 0.5930408311288585], Velocity: [0.624071921093191, -0.8256905913702557, -8.62611091786967], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.32243715923148186, -0.4266068055412989, 95.37422602576733], Rotation: [-0.9543680666666654, 0.6768529666666673, 0.5930408311288585], Velocity: [0.6343026083242269, -0.8392265027041943, -8.767522572260976], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.33300886937021895, -0.4405939139197021, 95.22537564956298], Rotation: [-0.9697610999999987, 0.6877699500000006, 0.5930408311288585], Velocity: [0.6445332955552628, -0.8527624140381329, -8.908934226652281], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.34375109096280665, -0.4548066208203376, 95.07416841245211], Rotation: [-0.985154133333332, 0.698686933333334, 0.5930408311288585], Velocity: [0.6547639827862988, -0.8662983253720715, -9.050345881043587], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.35466382400924495, -0.46924492624320546, 94.92060431443471], Rotation: [-1.0005471666666654, 0.7096039166666673, 0.5930408311288585], Velocity: [0.6649946700173347, -0.8798342367060101, -9.191757535434892], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
