Position: [0.0, 0.0, 117.74475577049999], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 15.284537535000029], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 117.99677306275], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 15.44803753500003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 118.251515355], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 15.61153753500003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 118.50898264725], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 15.775037535000031], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 118.76917493949999], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 15.938537535000032], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 119.03209223174998], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 16.102037535000033], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 119.29773452399999], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 16.265537535000032], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 119.56610181625], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 16.42903753500003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 119.8371941085], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 16.59253753500003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 120.11101140075], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 16.75603753500003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 120.387553693], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 16.91953753500003], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 120.66682098525], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 17.083037535000027], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 120.9488132775], Rotation: [169.94142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 17.18353935000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.61469
Position: [0.0, 0.0, 121.23248059999999], Rotation: [171.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 17.28546198000003], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.62338
